[2019/10/25-00:00:00.052] [info] [563383249@jtp-default-1] [exa.log.rotation]	Rotating additional logs
[2019/10/25-04:00:00.187] [info] [Waiting next query] [exa.search.api]	Slow query ! 166168
[2019/10/25-04:00:00.904] [warn] [140310283290368] [search.snippet.builder]	G49344: S49408: No language facet id set, will process with unknown language
[2019/10/25-04:00:00.904] [warn] [140310283290368] [search.snippet.builder]	G49344: S49408: No language facet id set, will process with unknown language
[2019/10/25-04:00:00.904] [warn] [140310283290368] [search.snippet.builder]	G49344: S49408: No language facet id set, will process with unknown language
[2019/10/25-04:00:00.904] [warn] [140310283290368] [search.snippet.builder]	G49344: S49408: No language facet id set, will process with unknown language
[2019/10/25-04:00:00.905] [warn] [140310283290368] [search.snippet.builder]	G49344: S49408: No language facet id set, will process with unknown language
[2019/10/25-04:00:00.905] [warn] [140310283290368] [search.snippet.builder]	G49344: S49408: No language facet id set, will process with unknown language
[2019/10/25-04:00:00.905] [warn] [140310283290368] [search.snippet.builder]	G49344: S49408: No language facet id set, will process with unknown language
[2019/10/25-04:00:00.905] [warn] [140310283290368] [search.snippet.builder]	G49344: S49408: No language facet id set, will process with unknown language
[2019/10/25-04:00:00.905] [warn] [140310283290368] [search.snippet.builder]	G49344: S49408: No language facet id set, will process with unknown language
[2019/10/25-04:00:00.905] [warn] [140310283290368] [search.snippet.builder]	G49344: S49408: No language facet id set, will process with unknown language
[2019/10/25-04:00:00.905] [warn] [140310283290368] [search.snippet.builder]	G49344: S49408: No language facet id set, will process with unknown language
[2019/10/25-04:00:00.905] [warn] [140310283290368] [search.snippet.builder]	G49344: S49408: No language facet id set, will process with unknown language
[2019/10/25-04:00:00.905] [warn] [140310283290368] [search.snippet.builder]	G49344: S49408: No language facet id set, will process with unknown language
[2019/10/25-04:00:00.905] [warn] [140310283290368] [search.snippet.builder]	G49344: S49408: No language facet id set, will process with unknown language
[2019/10/25-04:00:00.905] [warn] [140310283290368] [search.snippet.builder]	G49344: S49408: No language facet id set, will process with unknown language
[2019/10/25-04:00:00.905] [warn] [140310283290368] [search.snippet.builder]	G49344: S49408: No language facet id set, will process with unknown language
[2019/10/25-04:00:00.905] [warn] [140310283290368] [search.snippet.builder]	G49344: S49408: No language facet id set, will process with unknown language
[2019/10/25-04:00:00.906] [warn] [140310283290368] [search.snippet.builder]	G49344: S49408: No language facet id set, will process with unknown language
[2019/10/25-04:00:00.906] [warn] [140310283290368] [search.snippet.builder]	G49344: S49408: No language facet id set, will process with unknown language
[2019/10/25-04:00:00.906] [warn] [140310283290368] [search.snippet.builder]	G49344: S49408: No language facet id set, will process with unknown language
[2019/10/25-04:00:00.906] [warn] [140310283290368] [search.snippet.builder]	G49344: S49408: No language facet id set, will process with unknown language
[2019/10/25-04:00:00.906] [warn] [140310283290368] [search.snippet.builder]	G49344: S49408: No language facet id set, will process with unknown language
[2019/10/25-04:00:00.906] [warn] [140310283290368] [search.snippet.builder]	G49344: S49408: No language facet id set, will process with unknown language
[2019/10/25-04:00:00.906] [warn] [140310283290368] [search.snippet.builder]	G49344: S49408: No language facet id set, will process with unknown language
[2019/10/25-04:00:00.906] [warn] [140310283290368] [search.snippet.builder]	G49344: S49408: No language facet id set, will process with unknown language
[2019/10/25-04:00:00.906] [warn] [140310283290368] [search.snippet.builder]	G49344: S49408: No language facet id set, will process with unknown language
[2019/10/25-04:00:00.906] [warn] [140310283290368] [search.snippet.builder]	G49344: S49408: No language facet id set, will process with unknown language
[2019/10/25-04:00:00.907] [warn] [140310283290368] [search.snippet.builder]	G49344: S49408: No language facet id set, will process with unknown language
[2019/10/25-04:00:00.907] [warn] [140310283290368] [search.snippet.builder]	G49344: S49408: No language facet id set, will process with unknown language
[2019/10/25-04:00:00.907] [warn] [140310283290368] [search.snippet.builder]	G49344: S49408: No language facet id set, will process with unknown language
[2019/10/25-04:00:00.907] [warn] [140310283290368] [search.snippet.builder]	G49344: S49408: No language facet id set, will process with unknown language
[2019/10/25-04:00:00.907] [warn] [140310283290368] [search.snippet.builder]	G49344: S49408: No language facet id set, will process with unknown language
[2019/10/25-04:00:00.907] [warn] [140310283290368] [search.snippet.builder]	G49344: S49408: No language facet id set, will process with unknown language
